mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
1743-142914-0016_8324-286681-0002_6181-216552-0030,1743,M,8324,F,6181,M
4853-27671-0037_2952-410-0018_1624-142933-0022,4853,F,2952,M,1624,M
8095-274346-0021_2817-142371-0074_4813-248638-0013,8095,M,2817,F,4813,M
405-130894-0071_4680-16042-0024_307-127539-0035,405,M,4680,F,307,M
322-124147-0029_5867-48852-0059_5192-19396-0032,322,F,5867,F,5192,M
6064-56165-0015_302-123523-0018_1116-137572-0003,6064,F,302,F,1116,F
2518-154825-0054_6064-56165-0006_6272-70171-0035,2518,M,6064,F,6272,F
7312-92432-0004_4137-11702-0028_8098-278252-0008,7312,M,4137,F,8098,M
5022-29411-0014_3723-171631-0034_5192-19397-0051,5022,F,3723,M,5192,M
1723-141149-0036_5322-7678-0003_5678-43301-0004,1723,M,5322,M,5678,M
298-126791-0000_1069-133709-0011_2002-139469-0006,298,F,1069,F,2002,M
412-126975-0086_8975-270782-0106_4813-248638-0037,412,M,8975,F,4813,M
78-369-0002_4406-16883-0026_2843-152918-0080,78,M,4406,M,2843,M
1246-124548-0021_6272-70168-0025_1737-142396-0019,1246,F,6272,F,1737,F
8051-295385-0026_8238-283452-0022_831-130739-0042,8051,F,8238,F,831,M
60-121082-0013_6529-62556-0022_8419-293469-0018,60,M,6529,M,8419,M
4018-107312-0020_887-123289-0031_3242-8112-0019,4018,M,887,F,3242,M
4830-25904-0027_1098-133695-0023_441-130108-0038,4830,M,1098,F,441,F
2836-5355-0002_4018-107338-0011_1081-125237-0047,2836,F,4018,M,1081,M
4859-29340-0014_1069-133699-0016_3947-13262-0030,4859,M,1069,F,3947,F
8014-112602-0000_200-126784-0001_911-128684-0008,8014,F,200,F,911,M
4362-15663-0043_3807-4923-0005_7113-86041-0003,4362,F,3807,M,7113,F
4680-16042-0013_6529-62554-0053_1963-147036-0011,4680,F,6529,M,1963,F
3436-172162-0009_118-47824-0046_8063-274115-0013,3436,M,118,M,8063,M
6531-61334-0068_5750-35690-0031_7312-92432-0001,6531,F,5750,M,7312,M
4680-16026-0004_8014-112602-0016_2182-181183-0011,4680,F,8014,F,2182,F
2007-149877-0061_3440-171009-0066_458-126290-0014,2007,F,3440,F,458,M
5456-58161-0001_6209-34600-0005_3607-135982-0007,5456,M,6209,M,3607,M
1578-6379-0016_4898-28461-0001_3723-171631-0046,1578,F,4898,M,3723,M
298-126791-0013_3664-178366-0018_1069-133709-0012,298,F,3664,M,1069,F
8838-298546-0020_4788-91208-0012_3259-158083-0115,8838,M,4788,M,3259,F
198-126831-0007_8088-284756-0096_39-121916-0009,198,F,8088,M,39,F
8975-270782-0090_163-122947-0071_5561-41615-0002,8975,F,163,M,5561,F
5808-54425-0042_150-126112-0018_8630-305212-0019,5808,M,150,F,8630,M
5339-14133-0009_83-11691-0045_6078-54007-0004,5339,F,83,F,6078,F
2136-5140-0032_89-219-0044_7078-271888-0076,2136,M,89,F,7078,F
2384-152900-0030_332-128985-0020_2518-154826-0012,2384,M,332,M,2518,M
5652-39938-0001_1743-142913-0016_3112-9555-0018,5652,F,1743,M,3112,F
3857-180923-0006_3259-158083-0049_7800-283478-0002,3857,M,3259,F,7800,F
1963-142393-0006_8630-305213-0026_909-131045-0007,1963,F,8630,M,909,M
7859-102521-0014_19-198-0009_302-123516-0020,7859,F,19,F,302,F
311-124404-0060_7278-91083-0003_6437-66173-0002,311,M,7278,M,6437,M
441-128988-0008_298-126790-0000_4051-11218-0005,441,F,298,F,4051,F
6563-63821-0024_2391-145015-0073_7447-91186-0013,6563,M,2391,F,7447,M
27-123349-0026_2893-139322-0025_4297-13009-0002,27,M,2893,M,4297,F
412-126975-0066_8425-292520-0006_4137-11701-0036,412,M,8425,M,4137,F
3374-298032-0025_7800-283492-0019_2518-154825-0055,3374,M,7800,F,2518,M
254-127705-0024_1963-147036-0025_6385-220959-0026,254,M,1963,F,6385,F
8098-278252-0030_5192-19397-0016_911-130578-0003,8098,M,5192,M,911,M
7059-77900-0002_4898-28461-0047_8629-261140-0045,7059,F,4898,M,8629,M
3440-171006-0028_40-222-0047_4441-76250-0008,3440,F,40,F,4441,M
6836-61804-0023_6880-216547-0020_6415-111615-0011,6836,M,6880,M,6415,F
7800-283492-0008_4088-158077-0068_4195-17507-0014,7800,F,4088,F,4195,F
5022-29405-0015_8630-305213-0035_6836-61804-0002,5022,F,8630,M,6836,M
2289-152254-0011_198-209-0001_1737-142397-0040,2289,M,198,F,1737,F
5022-29405-0036_2007-149877-0060_5652-19215-0050,5022,F,2007,F,5652,F
909-131044-0000_2159-179156-0002_1578-140045-0012,909,M,2159,M,1578,F
6064-300880-0027_1841-159771-0004_201-127786-0059,6064,F,1841,F,201,M
4014-186175-0015_1235-135883-0017_3607-135982-0022,4014,M,1235,M,3607,M
1034-121119-0057_446-123501-0014_481-123719-0002,1034,M,446,M,481,M
1624-168623-0051_412-126975-0073_1447-130552-0026,1624,M,412,M,1447,F
3112-9555-0020_1737-148989-0019_3607-135982-0015,3112,F,1737,F,3607,M
7302-86814-0027_89-219-0023_8123-275209-0019,7302,F,89,F,8123,F
3830-12531-0028_405-130894-0049_250-142276-0014,3830,M,405,M,250,F
8051-295385-0030_307-127540-0023_3664-178355-0000,8051,F,307,M,3664,M
374-180298-0060_4830-25898-0012_4640-19188-0014,374,M,4830,M,4640,F
3982-182255-0038_7226-86964-0034_2817-142371-0061,3982,F,7226,M,2817,F
1898-145720-0016_163-122947-0059_4898-28461-0023,1898,F,163,M,4898,M
5463-39174-0030_103-1241-0017_8098-278252-0020,5463,M,103,F,8098,M
7264-92314-0002_1992-141719-0009_1455-138263-0023,7264,M,1992,F,1455,M
7148-7763-0022_587-41619-0017_125-121124-0028,7148,F,587,F,125,F
2391-145015-0004_248-130652-0013_8770-295465-0025,2391,F,248,F,8770,M
6880-216547-0039_1502-122619-0076_2436-2481-0011,6880,M,1502,F,2436,M
7264-92314-0011_2836-5355-0009_403-128339-0045,7264,M,2836,F,403,F
8797-294123-0059_911-128684-0088_6880-216547-0114,8797,M,911,M,6880,M
8051-118101-0037_3664-178366-0032_5163-39921-0053,8051,F,3664,M,5163,F
2911-12359-0022_2182-181183-0006_6437-66173-0034,2911,M,2182,F,6437,M
4640-19188-0030_3240-131231-0080_5022-29405-0009,4640,F,3240,M,5022,F
1992-141719-0026_4137-11702-0006_1737-146161-0004,1992,F,4137,F,1737,F
3723-171115-0024_1926-143879-0027_3664-178366-0019,3723,M,1926,F,3664,M
8088-284756-0088_8770-295462-0022_8123-275216-0013,8088,M,8770,M,8123,F
4481-17499-0040_7264-92316-0034_7447-91187-0056,4481,F,7264,M,7447,M
4859-29340-0032_2514-149482-0055_6147-34607-0036,4859,M,2514,M,6147,F
1594-135914-0117_5652-19215-0001_1624-168623-0044,1594,M,5652,F,1624,M
250-142286-0015_4397-15678-0039_7517-100442-0014,250,F,4397,M,7517,F
696-93314-0037_3112-9555-0072_1263-138246-0009,696,F,3112,F,1263,F
4051-11218-0028_7148-7763-0000_1594-135914-0070,4051,F,7148,F,1594,M
4788-294466-0001_289-121652-0010_5678-43302-0029,4788,M,289,F,5678,M
4397-15666-0014_405-130894-0002_8098-278252-0023,4397,M,405,M,8098,M
87-121553-0002_6064-56165-0020_2196-170151-0023,87,F,6064,F,2196,F
8123-275216-0012_6925-80680-0061_6181-216552-0070,8123,F,6925,M,6181,M
2391-145015-0060_6272-70191-0029_625-132112-0034,2391,F,6272,F,625,M
2002-139469-0025_6019-3185-0036_1034-121119-0042,2002,M,6019,M,1034,M
460-172359-0069_8770-295462-0007_8609-262281-0001,460,M,8770,M,8609,M
7505-83618-0026_2136-5140-0028_6531-61334-0094,7505,M,2136,M,6531,F
2159-179156-0025_4160-11550-0000_3857-180923-0026,2159,M,4160,F,3857,M
8425-291444-0001_4195-186236-0022_7067-76048-0060,8425,M,4195,F,7067,M
4481-17499-0008_7312-92432-0006_40-222-0000,4481,F,7312,M,40,F
229-130880-0052_8468-295198-0033_3259-158083-0068,229,M,8468,F,3259,F
7078-271888-0096_2514-149482-0024_201-127786-0012,7078,F,2514,M,201,M
5322-7678-0023_4680-16026-0009_233-134440-0029,5322,M,4680,F,233,M
2289-152253-0023_5104-33406-0045_5808-48608-0038,2289,M,5104,M,5808,M
4813-248641-0010_6019-3185-0047_2843-152918-0043,4813,M,6019,M,2843,M
8975-270782-0073_5104-33407-0029_1992-141719-0012,8975,F,5104,M,1992,F
6078-54013-0075_696-93314-0034_196-122150-0018,6078,F,696,F,196,M
6437-66173-0051_2893-139310-0004_78-369-0037,6437,M,2893,M,78,M
3374-298025-0014_1926-143879-0044_2952-408-0019,3374,M,1926,F,2952,M
289-121665-0025_1624-168623-0004_8095-274346-0028,289,F,1624,M,8095,M
6064-56165-0032_8838-298545-0042_3664-178355-0005,6064,F,8838,M,3664,M
3235-28433-0002_8468-286673-0008_831-130746-0020,3235,F,8468,F,831,M
1624-168623-0050_7278-104730-0019_39-121914-0019,1624,M,7278,M,39,F
426-122821-0012_2691-156750-0015_1334-135589-0090,426,F,2691,F,1334,M
839-130898-0003_5322-7678-0031_4051-11218-0016,839,M,5322,M,4051,F
1502-122619-0040_4397-15668-0027_211-122442-0015,1502,F,4397,M,211,F
6078-54007-0023_1235-135884-0035_1455-138263-0037,6078,F,1235,M,1455,M
5390-30096-0005_1455-138263-0011_8051-119902-0031,5390,M,1455,M,8051,F
83-9960-0030_3699-47246-0022_4406-16883-0011,83,F,3699,M,4406,M
6415-111615-0012_6848-252323-0023_7078-271888-0018,6415,F,6848,M,7078,F
5390-30096-0015_4214-7146-0044_7635-105409-0028,5390,M,4214,F,7635,F
7302-86815-0054_1992-141719-0020_3235-28433-0025,7302,F,1992,F,3235,F
4088-158077-0069_1098-133695-0034_6000-86686-0020,4088,F,1098,F,6000,F
5867-48852-0086_3879-173592-0011_3947-13262-0005,5867,F,3879,F,3947,F
8747-293952-0043_2817-142371-0049_3699-19401-0018,8747,M,2817,F,3699,M
2910-131096-0023_5463-39173-0030_6367-65536-0051,2910,F,5463,M,6367,M
405-130894-0072_1624-142933-0036_5163-18515-0049,405,M,1624,M,5163,F
8095-274346-0009_2817-142380-0008_298-126790-0041,8095,M,2817,F,298,F
1183-133256-0004_2817-142371-0066_198-126831-0052,1183,F,2817,F,198,F
7859-102519-0050_1737-146161-0002_1069-133709-0042,7859,F,1737,F,1069,F
1355-39947-0023_196-122150-0000_311-124404-0115,1355,M,196,M,311,M
1737-148989-0009_7780-274562-0076_446-123502-0034,1737,F,7780,F,446,M
4137-11701-0010_8088-284756-0036_8123-275209-0010,4137,F,8088,M,8123,F
5688-15787-0015_1334-135589-0076_200-124139-0004,5688,F,1334,M,200,F
2159-179157-0001_211-122442-0038_8425-246962-0009,2159,M,211,F,8425,M
1624-142933-0002_4362-15663-0026_831-130746-0003,1624,M,4362,F,831,M
6454-93938-0014_7278-104730-0038_5022-29411-0065,6454,M,7278,M,5022,F
7402-59171-0014_2910-131096-0041_250-142286-0032,7402,M,2910,F,250,F
5390-30102-0013_7312-92432-0020_3879-174923-0014,5390,M,7312,M,3879,F
322-124147-0001_839-130898-0051_1841-150351-0027,322,F,839,M,1841,F
6209-34599-0027_2416-152137-0019_6437-66173-0025,6209,M,2416,F,6437,M
118-47824-0057_5463-39174-0037_6147-34607-0013,118,M,5463,M,6147,F
4160-11549-0038_2289-152258-0005_5703-47198-0004,4160,F,2289,M,5703,M
6454-107462-0021_6437-66173-0031_2836-5355-0043,6454,M,6437,M,2836,F
403-128339-0013_1594-135914-0024_587-54108-0027,403,F,1594,M,587,F
4441-76263-0032_248-130644-0017_1235-135887-0016,4441,M,248,F,1235,M
8419-293469-0021_1926-147979-0015_1867-154075-0039,8419,M,1926,F,1867,M
6064-56168-0014_3879-174923-0037_7517-100437-0002,6064,F,3879,F,7517,F
458-126305-0033_150-126107-0038_2691-156745-0034,458,M,150,F,2691,F
1334-135589-0052_4481-17498-0023_5678-43303-0038,1334,M,4481,F,5678,M
4830-25898-0036_302-123523-0033_3242-8112-0024,4830,M,302,F,3242,M
6454-107462-0002_1363-139304-0044_5322-7679-0012,6454,M,1363,F,5322,M
1116-132847-0013_3440-171009-0005_2007-149877-0017,1116,F,3440,F,2007,F
2289-152253-0005_298-126790-0004_7264-92310-0006,2289,M,298,F,7264,M
1447-130552-0011_8123-275216-0043_196-122150-0016,1447,F,8123,F,196,M
6081-42010-0023_2989-138035-0054_2007-132570-0033,6081,M,2989,F,2007,F
298-126791-0031_7178-34645-0002_118-124588-0021,298,F,7178,F,118,M
2007-132570-0049_374-180299-0040_8419-286676-0008,2007,F,374,M,8419,M
441-128982-0013_8838-298545-0022_2384-152900-0027,441,F,8838,M,2384,M
4830-25904-0047_911-128684-0052_8580-287364-0027,4830,M,911,M,8580,M
4481-17499-0011_6836-61804-0033_3259-158083-0099,4481,F,6836,M,3259,F
302-123523-0013_6000-86686-0025_4640-19189-0042,302,F,6000,F,4640,F
7511-102420-0008_2092-145706-0061_1183-133256-0010,7511,F,2092,F,1183,F
87-121553-0050_311-124404-0096_5688-41232-0013,87,F,311,M,5688,F
6367-74004-0017_2416-152139-0056_3723-171631-0037,6367,M,2416,F,3723,M
2416-152139-0001_3168-173564-0037_2893-139310-0043,2416,F,3168,M,2893,M
60-121082-0005_1502-122619-0091_909-131044-0007,60,M,1502,F,909,M
5339-14133-0040_412-126975-0027_7113-86041-0045,5339,F,412,M,7113,F
7264-92310-0000_6415-116629-0036_2159-179156-0012,7264,M,6415,F,2159,M
3807-4923-0051_8324-286683-0005_5778-12761-0024,3807,M,8324,F,5778,F
2002-139469-0094_2952-408-0010_2007-132570-0027,2002,M,2952,M,2007,F
625-132118-0019_6563-285357-0017_5789-57158-0000,625,M,6563,M,5789,F
7517-100437-0024_481-123720-0054_4441-76263-0035,7517,F,481,M,4441,M
198-129977-0029_412-126975-0072_7264-92314-0024,198,F,412,M,7264,M
328-129766-0008_1455-138263-0029_1235-135887-0006,328,F,1455,M,1235,M
7278-246956-0009_2384-152900-0068_403-128339-0038,7278,M,2384,M,403,F
2817-142380-0025_6529-62554-0011_289-121652-0030,2817,F,6529,M,289,F
248-130644-0020_1926-147987-0021_8324-286683-0020,248,F,1926,F,8324,F
7148-7763-0032_6181-216552-0011_2002-139469-0070,7148,F,6181,M,2002,M
4160-11550-0030_201-127786-0041_445-123860-0005,4160,F,201,M,445,M
6147-34606-0007_4788-94904-0019_6437-66172-0031,6147,F,4788,M,6437,M
1841-159771-0029_1963-142776-0017_201-127786-0013,1841,F,1963,F,201,M
8324-286683-0016_8226-274369-0007_3440-171009-0046,8324,F,8226,M,3440,F
302-123523-0012_625-132118-0034_2289-152254-0019,302,F,625,M,2289,M
8098-278278-0005_4195-186238-0010_118-47824-0009,8098,M,4195,F,118,M
2092-145706-0081_2002-139469-0013_8630-305213-0032,2092,F,2002,M,8630,M
8465-246947-0003_201-122255-0016_5049-25947-0053,8465,F,201,M,5049,M
5390-24512-0002_3664-178355-0008_2817-142371-0032,5390,M,3664,M,2817,F
3235-28433-0012_2910-131096-0088_8108-274318-0012,3235,F,2910,F,8108,M
8014-112586-0010_1455-134435-0029_198-126831-0015,8014,F,1455,M,198,F
8014-112602-0035_2911-15045-0003_6367-65536-0057,8014,F,2911,M,6367,M
1841-150351-0018_8051-295385-0016_6437-66172-0034,1841,F,8051,F,6437,M
1363-139304-0023_5789-70653-0021_3607-135982-0005,1363,F,5789,F,3607,M
6367-65536-0042_2952-407-0004_2911-7601-0035,6367,M,2952,M,2911,M
5808-54425-0026_1034-121119-0069_6563-285357-0004,5808,M,1034,M,6563,M
4481-17498-0012_7059-77900-0001_298-126790-0025,4481,F,7059,F,298,F
460-172359-0039_587-41619-0019_1723-141149-0107,460,M,587,F,1723,M
4441-76262-0007_1334-135589-0002_1040-133433-0036,4441,M,1334,M,1040,M
3440-171006-0020_2196-170151-0005_1034-121119-0041,3440,F,2196,F,1034,M
8468-294887-0014_2989-138035-0066_1334-135589-0034,8468,F,2989,F,1334,M
7278-91083-0017_458-126294-0006_125-121124-0069,7278,M,458,M,125,F
1447-17506-0007_6019-3185-0031_3112-9555-0052,1447,F,6019,M,3112,F
458-126305-0020_60-121082-0047_6385-220959-0019,458,M,60,M,6385,F
6437-66173-0007_4441-76263-0004_2092-145706-0001,6437,M,4441,M,2092,F
7859-102518-0025_5049-25947-0052_696-93314-0024,7859,F,5049,M,696,F
3526-176653-0033_458-126290-0011_4160-14187-0011,3526,F,458,M,4160,F
5561-41615-0010_3168-173565-0043_118-124588-0000,5561,F,3168,M,118,M
4137-11702-0029_6272-70171-0021_441-130108-0020,4137,F,6272,F,441,F
4267-287369-0011_2436-2481-0034_909-131044-0031,4267,M,2436,M,909,M
8014-112602-0034_831-130739-0027_1116-132847-0021,8014,F,831,M,1116,F
4788-91208-0021_1334-135589-0106_7800-283493-0017,4788,M,1334,M,7800,F
4137-11702-0048_2514-149482-0054_911-130578-0004,4137,F,2514,M,911,M
8098-278278-0029_307-127539-0001_289-121652-0007,8098,M,307,M,289,F
1743-142913-0008_5789-57195-0034_1624-142933-0006,1743,M,5789,F,1624,M
374-180299-0017_6209-34599-0003_7402-90848-0039,374,M,6209,M,7402,M
8123-275209-0017_2007-132570-0052_8838-298545-0028,8123,F,2007,F,8838,M
7505-258964-0006_5456-58161-0010_696-92939-0016,7505,M,5456,M,696,F
3607-135982-0014_87-121553-0071_4160-11550-0016,3607,M,87,F,4160,F
3607-29116-0017_1447-130551-0003_8609-262281-0003,3607,M,1447,F,8609,M
4859-22176-0002_307-127535-0003_405-130895-0020,4859,M,307,M,405,M
5808-48608-0040_2989-138035-0002_5778-54535-0042,5808,M,2989,F,5778,F
1578-140045-0011_39-121914-0040_730-360-0005,1578,F,39,F,730,F
307-127535-0024_201-127786-0049_6476-96661-0008,307,M,201,M,6476,F
1553-140048-0049_103-1240-0003_7190-90542-0012,1553,F,103,F,7190,M
4362-15663-0061_6454-107462-0024_1455-134435-0050,4362,F,6454,M,1455,M
2136-5143-0016_4051-11218-0060_7447-91187-0033,2136,M,4051,F,7447,M
6476-96661-0001_7113-86041-0079_4441-76262-0005,6476,F,7113,F,4441,M
5750-35690-0012_8975-270782-0018_5778-54535-0011,5750,M,8975,F,5778,F
7190-90543-0034_1183-133255-0006_8770-295465-0022,7190,M,1183,F,8770,M
8324-286683-0018_6529-62556-0011_5808-54425-0001,8324,F,6529,M,5808,M
5390-30096-0028_4441-76263-0014_2911-15045-0021,5390,M,4441,M,2911,M
4441-76250-0035_8609-262281-0041_2691-156745-0030,4441,M,8609,M,2691,F
4214-7146-0006_125-121124-0008_8609-283227-0009,4214,F,125,F,8609,M
8324-286682-0040_887-123291-0025_39-121914-0035,8324,F,887,F,39,F
412-126975-0067_1737-142396-0003_7278-104730-0007,412,M,1737,F,7278,M
5322-7678-0020_6209-34600-0017_3235-28433-0001,5322,M,6209,M,3235,F
5022-29405-0033_229-130880-0044_1034-121119-0049,5022,F,229,M,1034,M
1447-130550-0003_2384-152900-0079_1970-10594-0007,1447,F,2384,M,1970,F
8063-274117-0023_8051-119902-0002_211-122425-0081,8063,M,8051,F,211,F
311-124404-0013_2518-154825-0050_8014-112602-0002,311,M,2518,M,8014,F
2514-149482-0001_8238-274553-0034_1081-125237-0052,2514,M,8238,F,1081,M
8063-274116-0007_8629-261140-0049_6272-70171-0031,8063,M,8629,M,6272,F
2136-5147-0024_328-129766-0044_403-126855-0011,2136,M,328,F,403,F
8123-275216-0032_7800-283478-0028_87-121553-0042,8123,F,7800,F,87,F
6531-61334-0064_7367-86737-0033_3235-28452-0019,6531,F,7367,M,3235,F
8324-286682-0015_254-127705-0035_196-122150-0034,8324,F,254,M,196,M
7264-92310-0009_2691-156755-0013_150-126112-0015,7264,M,2691,F,150,F
5750-100289-0074_6181-216552-0073_405-130894-0048,5750,M,6181,M,405,M
2691-156745-0007_1116-132851-0012_1743-142912-0036,2691,F,1116,F,1743,M
302-123516-0029_60-121082-0029_3723-171115-0042,302,F,60,M,3723,M
8419-286667-0008_8088-284756-0077_5339-14134-0027,8419,M,8088,M,5339,F
3240-131231-0082_1246-135815-0022_6925-80680-0013,3240,M,1246,F,6925,M
5104-33406-0001_6367-65536-0068_2989-138028-0030,5104,M,6367,M,2989,F
6531-61334-0110_7264-92310-0013_2518-154825-0021,6531,F,7264,M,2518,M
1098-133695-0001_3259-158083-0017_8226-274369-0030,1098,F,3259,F,8226,M
7059-77900-0021_6415-116629-0019_4680-16042-0001,7059,F,6415,F,4680,F
625-132118-0033_7505-83618-0024_250-142276-0022,625,M,7505,M,250,F
2136-5140-0008_40-222-0056_1970-26100-0004,2136,M,40,F,1970,F
6836-76549-0007_7264-92316-0026_19-227-0072,6836,M,7264,M,19,F
2691-156755-0016_8465-246947-0010_1594-135914-0026,2691,F,8465,F,1594,M
405-130894-0069_2952-407-0011_5322-7680-0002,405,M,2952,M,5322,M
5456-62014-0012_7278-104730-0011_1841-150351-0028,5456,M,7278,M,1841,F
3440-171009-0029_7078-271888-0062_2691-156750-0020,3440,F,7078,F,2691,F
3857-180923-0024_5163-39921-0047_3374-298025-0029,3857,M,5163,F,3374,M
89-219-0051_2182-150130-0031_5514-19192-0006,89,F,2182,F,5514,F
1743-142913-0003_8051-295385-0015_4014-186183-0009,1743,M,8051,F,4014,M
8465-246943-0000_7800-283493-0018_2836-5355-0022,8465,F,7800,F,2836,F
7067-76047-0034_27-124992-0049_254-145458-0009,7067,M,27,M,254,M
1578-140049-0035_226-131532-0024_8838-298546-0041,1578,F,226,F,8838,M
4640-19189-0006_7794-295947-0032_8797-294123-0061,4640,F,7794,F,8797,M
1098-133695-0082_6836-61803-0029_8580-287364-0014,1098,F,6836,M,8580,M
8238-283452-0030_5393-19219-0027_3374-298032-0005,8238,F,5393,F,3374,M
3436-172162-0005_302-123516-0009_6000-86686-0022,3436,M,302,F,6000,F
2289-152257-0005_4362-15663-0014_1737-142396-0014,2289,M,4362,F,1737,F
2817-142371-0031_4680-16041-0019_6925-80680-0048,2817,F,4680,F,6925,M
2910-131096-0044_730-358-0013_5808-48608-0004,2910,F,730,F,5808,M
6848-252322-0019_405-130894-0035_5390-30102-0025,6848,M,405,M,5390,M
887-123290-0010_6529-62554-0024_4680-16042-0019,887,F,6529,M,4680,F
4859-29340-0041_3607-135982-0009_1183-133255-0004,4859,M,3607,M,1183,F
6848-252323-0014_4853-27671-0000_2007-132570-0019,6848,M,4853,F,2007,F
2843-152918-0003_1898-145715-0045_5561-41615-0006,2843,M,1898,F,5561,F
460-172359-0071_4297-13009-0040_233-155990-0045,460,M,4297,F,233,M
1069-133709-0036_587-54108-0043_6019-3185-0052,1069,F,587,F,6019,M
481-123720-0000_201-127786-0020_6081-41997-0033,481,M,201,M,6081,M
2843-152918-0039_83-11691-0041_441-128982-0029,2843,M,83,F,441,F
8425-246962-0011_2911-7601-0010_4214-7146-0050,8425,M,2911,M,4214,F
32-21631-0012_7278-91083-0010_3947-13260-0042,32,F,7278,M,3947,F
6078-54013-0032_2952-410-0036_8095-274346-0052,6078,F,2952,M,8095,M
7302-86815-0071_2136-5140-0039_1040-133433-0065,7302,F,2136,M,1040,M
7367-86737-0045_587-41611-0026_4640-19188-0037,7367,M,587,F,4640,F
5339-14134-0038_150-126107-0013_8609-283227-0069,5339,F,150,F,8609,M
831-130746-0006_6181-216552-0104_3664-178355-0023,831,M,6181,M,3664,M
1594-135914-0019_1263-141777-0027_1088-129236-0000,1594,M,1263,F,1088,F
1841-159771-0031_3857-180923-0017_4137-11702-0050,1841,F,3857,M,4137,F
3240-131232-0010_8419-286676-0004_6563-285357-0013,3240,M,8419,M,6563,M
1034-121119-0056_289-121652-0036_2764-36617-0004,1034,M,289,F,2764,F
6454-93938-0025_1447-130552-0005_2436-2477-0011,6454,M,1447,F,2436,M
7511-102420-0042_3112-9555-0059_1455-138263-0038,7511,F,3112,F,1455,M
730-359-0038_2836-5355-0033_1898-145724-0013,730,F,2836,F,1898,F
4195-186236-0017_1183-133256-0007_426-122821-0013,4195,F,1183,F,426,F
1624-142933-0021_5022-29405-0026_6437-66172-0011,1624,M,5022,F,6437,M
5192-19397-0030_2518-154825-0011_322-124147-0003,5192,M,2518,M,322,F
374-180299-0006_3699-19402-0025_4441-76250-0018,374,M,3699,M,4441,M
7511-102420-0050_3947-13260-0019_2911-7601-0016,7511,F,3947,F,2911,M
587-54108-0038_103-1240-0021_3168-173564-0007,587,F,103,F,3168,M
1737-142397-0036_211-122442-0054_3607-135982-0051,1737,F,211,F,3607,M
7505-83618-0003_1363-139304-0033_1098-133695-0000,7505,M,1363,F,1098,F
196-122150-0035_328-129766-0037_3168-173565-0056,196,M,328,F,3168,M
1363-135842-0043_7226-86964-0041_7113-86041-0094,1363,F,7226,M,7113,F
1088-134318-0005_8975-270782-0008_5049-25947-0031,1088,F,8975,F,5049,M
6181-216552-0036_8580-287363-0036_1723-141149-0078,6181,M,8580,M,1723,M
6529-62556-0009_5808-54425-0047_5049-25947-0114,6529,M,5808,M,5049,M
374-180298-0005_8014-280382-0002_8465-246943-0001,374,M,8014,F,8465,F
4051-11217-0033_2182-181173-0023_1363-135842-0051,4051,F,2182,F,1363,F
6880-216547-0038_3436-172171-0022_3214-167602-0026,6880,M,3436,M,3214,M
4297-13006-0034_289-121652-0014_1502-122619-0025,4297,F,289,F,1502,F
1447-130552-0001_3436-172171-0024_4481-17498-0029,1447,F,3436,M,4481,F
6415-100596-0013_1246-124550-0022_8123-275216-0007,6415,F,1246,F,8123,F
7859-102521-0010_6454-93938-0005_458-126305-0023,7859,F,6454,M,458,M
8465-246942-0007_6209-34599-0034_412-126975-0078,8465,F,6209,M,412,M
