mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
2764-36617-0032_2007-132570-0027,2764,F,2007,F
4859-29340-0033_1743-142914-0008,4859,M,1743,M
1116-137572-0038_1246-124550-0002,1116,F,1246,F
7278-246956-0013_3982-182255-0044,7278,M,3982,F
8108-280354-0005_7800-283492-0035,8108,M,7800,F
7278-246956-0011_5678-43301-0006,7278,M,5678,M
2514-149482-0098_6272-70191-0005,2514,M,6272,F
3214-167606-0024_625-132118-0013,3214,M,625,M
1553-140047-0041_196-122159-0022,1553,F,196,M
1867-154071-0034_1098-133695-0051,1867,M,1098,F
6529-62554-0018_8419-286676-0009,6529,M,8419,M
1098-133695-0079_4340-15220-0010,1098,F,4340,F
8425-287387-0011_6848-76049-0018,8425,M,6848,M
4018-107338-0006_4014-186183-0026,4018,M,4014,M
2518-154826-0004_4788-94904-0007,2518,M,4788,M
3235-11599-0025_1081-125237-0057,3235,F,1081,M
78-368-0041_446-123502-0035,78,M,446,M
103-1241-0033_2910-131096-0047,103,F,2910,F
87-121553-0043_5652-39938-0001,87,F,5652,F
2764-36616-0013_6081-41998-0040,2764,F,6081,M
7312-92432-0001_250-142276-0035,7312,M,250,F
8465-246947-0019_6415-111615-0027,8465,F,6415,F
8630-305212-0038_5390-24512-0034,8630,M,5390,M
8975-270782-0052_39-121914-0056,8975,F,39,F
2092-145706-0078_4297-13006-0005,2092,F,4297,F
7178-34645-0012_6531-61334-0074,7178,F,6531,F
302-123523-0017_7859-102519-0008,302,F,7859,F
2092-145706-0027_19-227-0068,2092,F,19,F
887-123289-0013_5652-19215-0017,887,F,5652,F
2159-179154-0033_2391-145015-0075,2159,M,2391,F
3983-5331-0016_8123-275216-0036,3983,F,8123,F
311-124404-0101_2416-152139-0031,311,M,2416,F
6848-252323-0032_1743-142912-0018,6848,M,1743,M
2910-131096-0075_8238-274553-0012,2910,F,8238,F
2836-5355-0041_3168-173565-0015,2836,F,3168,M
2989-138035-0056_374-180299-0040,2989,F,374,M
1737-142397-0039_328-129766-0085,1737,F,328,F
1898-145715-0046_1235-135883-0000,1898,F,1235,M
3112-9554-0002_2159-179157-0002,3112,F,2159,M
3983-5331-0014_1926-147979-0025,3983,F,1926,F
4362-15663-0087_3374-298032-0008,4362,F,3374,M
32-4137-0006_1116-132847-0016,32,F,1116,F
1263-141777-0018_1116-132847-0022,1263,F,1116,F
7078-271888-0069_2836-5354-0036,7078,F,2836,F
5163-18515-0043_7505-258958-0021,5163,F,7505,M
60-121082-0007_587-41611-0021,60,M,587,F
60-121082-0030_481-123720-0028,60,M,481,M
2518-154825-0053_7190-90542-0019,2518,M,7190,M
5678-43303-0000_7505-258964-0050,5678,M,7505,M
1183-133256-0000_2817-142380-0016,1183,F,2817,F
5688-41232-0023_1723-141149-0035,5688,F,1723,M
8465-246943-0004_3112-9555-0046,8465,F,3112,F
5393-19218-0040_7078-271888-0094,5393,F,7078,F
7794-295948-0004_332-128985-0013,7794,F,332,M
6181-216552-0079_5322-7678-0016,6181,M,5322,M
1898-145702-0011_1034-121119-0057,1898,F,1034,M
3242-8112-0011_1737-142396-0020,3242,M,1737,F
374-180298-0042_5393-19218-0028,374,M,5393,F
2196-174172-0003_250-142276-0041,2196,F,250,F
5750-100289-0012_1235-135884-0022,5750,M,1235,M
201-122255-0010_1069-133709-0008,201,M,1069,F
1246-124548-0050_3436-172171-0045,1246,F,3436,M
669-129061-0040_311-124404-0104,669,F,311,M
19-227-0007_1235-135884-0004,19,F,1235,M
4830-25904-0036_5192-19397-0055,4830,M,5192,M
2817-142371-0037_8630-305213-0032,2817,F,8630,M
1898-145720-0016_7517-100442-0025,1898,F,7517,F
2092-145706-0057_1737-146161-0004,2092,F,1737,F
1898-145724-0031_7113-86041-0026,1898,F,7113,F
201-122255-0008_200-124139-0024,201,M,200,F
3374-298025-0001_839-130898-0092,3374,M,839,M
2911-15084-0009_201-127786-0055,2911,M,201,M
7059-77897-0001_3879-173592-0017,7059,F,3879,F
3240-131231-0012_5778-12761-0015,3240,M,5778,F
4441-76263-0021_83-3054-0008,4441,M,83,F
6818-76332-0018_3214-167602-0022,6818,F,3214,M
3486-166424-0030_4481-17499-0011,3486,M,4481,F
8088-284756-0076_8629-261139-0046,8088,M,8629,M
403-126855-0031_8419-286667-0002,403,F,8419,M
3168-173564-0035_5192-19396-0005,3168,M,5192,M
7517-100429-0012_6367-74004-0035,7517,F,6367,M
4441-76263-0046_7859-102519-0044,4441,M,7859,F
4088-158077-0058_6454-120342-0022,4088,F,6454,M
8468-294887-0022_19-227-0010,8468,F,19,F
1624-168623-0014_302-123523-0019,1624,M,302,F
4481-17499-0045_83-11691-0009,4481,F,83,F
7402-59171-0039_441-128988-0022,7402,M,441,F
1040-133433-0000_458-126290-0004,1040,M,458,M
332-128985-0002_6531-61334-0129,332,M,6531,F
4853-27670-0003_2002-139469-0013,4853,F,2002,M
5703-47198-0047_27-124992-0053,5703,M,27,M
8580-287364-0038_8123-275216-0031,8580,M,8123,F
200-126784-0024_445-123857-0006,200,F,445,M
1040-133433-0072_2384-152900-0030,1040,M,2384,M
150-126107-0023_328-129766-0063,150,F,328,F
669-129061-0038_6272-70171-0040,669,F,6272,F
89-218-0001_6064-56168-0016,89,F,6064,F
8088-284756-0104_1363-139304-0004,8088,M,1363,F
6848-252323-0008_6181-216552-0108,6848,M,6181,M
32-4137-0056_5393-19219-0026,32,F,5393,F
1088-134315-0017_7859-102519-0020,1088,F,7859,F
3857-180923-0009_6000-86686-0013,3857,M,6000,F
3982-182255-0001_5688-41232-0064,3982,F,5688,F
7078-271888-0035_5104-33407-0001,7078,F,5104,M
4362-15663-0039_458-126305-0001,4362,F,458,M
1235-135883-0035_2002-139469-0113,1235,M,2002,M
298-126791-0014_201-127786-0081,298,F,201,M
412-126975-0000_6437-66172-0042,412,M,6437,M
4267-78186-0013_1081-125237-0105,4267,M,1081,M
7148-59157-0041_405-130894-0057,7148,F,405,M
6081-42010-0028_8747-293952-0034,6081,M,8747,M
8468-295198-0032_8797-294123-0007,8468,F,8797,M
3723-171115-0034_5390-30102-0016,3723,M,5390,M
6272-70168-0006_3374-298026-0014,6272,F,3374,M
2196-170379-0002_1263-138246-0027,2196,F,1263,F
6925-80680-0049_1624-168623-0042,6925,M,1624,M
322-124147-0064_4830-25898-0033,322,F,4830,M
1743-142912-0001_7113-86041-0074,1743,M,7113,F
5778-54535-0032_5678-43302-0013,5778,F,5678,M
8088-284756-0067_8609-283227-0018,8088,M,8609,M
26-495-0083_6531-61334-0089,26,M,6531,F
696-93314-0027_60-121082-0045,696,F,60,M
6385-34655-0022_2092-145709-0011,6385,F,2092,F
3830-12530-0044_6272-70191-0017,3830,M,6272,F
7059-77900-0001_4340-15220-0060,7059,F,4340,F
696-92939-0039_8419-293469-0003,696,F,8419,M
374-180298-0008_7635-105661-0013,374,M,7635,F
7367-86737-0013_1624-168623-0038,7367,M,1624,M
1970-10594-0015_911-128684-0048,1970,F,911,M
226-131533-0035_3664-11714-0019,226,F,3664,M
307-127539-0010_4481-17499-0014,307,M,4481,F
3240-131231-0032_89-219-0061,3240,M,89,F
6019-3185-0048_730-358-0053,6019,M,730,F
8580-287363-0033_1081-125237-0011,8580,M,1081,M
3436-172162-0004_8108-280359-0014,3436,M,8108,M
458-126305-0036_5192-19396-0021,458,M,5192,M
8088-284756-0068_6078-54007-0017,8088,M,6078,F
3440-171009-0069_1743-142914-0033,3440,F,1743,M
1992-141719-0038_8975-270782-0077,1992,F,8975,F
5652-19215-0062_8312-279790-0026,5652,F,8312,F
887-123291-0019_7078-271888-0047,887,F,7078,F
1553-140047-0022_446-123502-0011,1553,F,446,M
289-121652-0009_4051-11218-0027,289,F,4051,F
625-132112-0015_4297-13009-0036,625,M,4297,F
8630-305212-0006_5463-39173-0013,8630,M,5463,M
103-1240-0026_6081-41998-0036,103,F,6081,M
26-495-0017_125-121124-0073,26,M,125,F
87-121553-0051_7067-76048-0046,87,F,7067,M
831-130746-0032_3947-13260-0006,831,M,3947,F
5192-19397-0042_2911-7601-0010,5192,M,2911,M
8975-270782-0009_1743-142913-0020,8975,F,1743,M
8797-294123-0064_8425-246962-0006,8797,M,8425,M
1867-154071-0038_3112-9555-0017,1867,M,3112,F
8324-286683-0034_3857-180923-0027,8324,F,3857,M
3214-167606-0033_6531-61334-0127,3214,M,6531,F
198-126831-0002_7635-105661-0003,198,F,7635,F
2518-154825-0014_441-130108-0014,2518,M,441,F
1841-150351-0031_7278-246956-0032,1841,F,7278,M
2384-152900-0084_6454-120342-0020,2384,M,6454,M
5867-48852-0077_89-218-0037,5867,F,89,F
4297-13006-0016_3486-166446-0019,4297,F,3486,M
2391-145015-0110_8609-283227-0008,2391,F,8609,M
6415-111615-0010_8580-287363-0021,6415,F,8580,M
2764-36617-0002_3807-4955-0017,2764,F,3807,M
412-126975-0012_7302-86815-0026,412,M,7302,F
4014-186176-0022_8425-287387-0017,4014,M,8425,M
8425-246962-0008_4680-16041-0018,8425,M,4680,F
6367-65536-0038_4051-11218-0018,6367,M,4051,F
6064-300880-0007_7148-59157-0023,6064,F,7148,F
403-216-0024_3699-175950-0018,403,F,3699,M
730-358-0058_1867-148436-0034,730,F,1867,M
839-130898-0073_4362-15663-0048,839,M,4362,F
7511-102420-0016_2843-152918-0101,7511,F,2843,M
3436-172162-0027_1898-145715-0027,3436,M,1898,F
7517-100429-0028_696-93314-0011,7517,F,696,F
6272-70168-0025_2893-139322-0009,6272,F,2893,M
32-21631-0010_5463-39174-0026,32,F,5463,M
3486-166446-0006_8609-262281-0002,3486,M,8609,M
1723-141149-0101_2416-152139-0006,1723,M,2416,F
6415-111615-0037_4051-10927-0011,6415,F,4051,F
4362-15663-0033_1235-135883-0024,4362,F,1235,M
2911-7601-0026_8312-279791-0038,2911,M,8312,F
6836-61804-0032_19-198-0034,6836,M,19,F
730-359-0044_481-123720-0044,730,F,481,M
1970-26100-0024_1553-140048-0026,1970,F,1553,F
3214-167606-0002_5192-19396-0016,3214,M,5192,M
8419-286667-0028_5808-48608-0012,8419,M,5808,M
6367-65536-0061_226-131532-0005,6367,M,226,F
3259-158083-0049_6367-74004-0011,3259,F,6367,M
6081-41997-0001_6000-55211-0055,6081,M,6000,F
587-41611-0007_1081-125237-0091,587,F,1081,M
1578-140045-0017_4018-107338-0019,1578,F,4018,M
8324-286682-0031_5463-39174-0012,8324,F,5463,M
2952-410-0040_5456-62043-0011,2952,M,5456,M
2002-139469-0055_2289-152258-0017,2002,M,2289,M
2416-152137-0032_5514-19193-0012,2416,F,5514,F
8063-274112-0003_4018-103416-0026,8063,M,4018,M
374-180299-0017_7190-90542-0045,374,M,7190,M
2843-152918-0080_3436-172171-0061,2843,M,3436,M
587-41611-0020_1737-142397-0033,587,F,1737,F
5049-25947-0094_83-3054-0002,5049,M,83,F
8975-270782-0108_5867-48852-0012,8975,F,5867,F
307-127535-0021_3440-171009-0034,307,M,3440,F
125-121124-0048_5514-19192-0042,125,F,5514,F
89-218-0025_6385-220959-0016,89,F,6385,F
1069-133699-0001_669-129061-0036,1069,F,669,F
1040-133433-0027_6454-120342-0028,1040,M,6454,M
3607-29116-0032_625-132112-0022,3607,M,625,M
6078-54013-0024_7302-86815-0052,6078,F,7302,F
7511-102419-0013_5322-7678-0009,7511,F,5322,M
8580-287364-0004_8324-286683-0020,8580,M,8324,F
2159-179154-0009_4214-7146-0046,2159,M,4214,F
118-121721-0022_2182-181183-0021,118,M,2182,F
5456-58161-0000_2159-179156-0033,5456,M,2159,M
60-121082-0066_2391-145015-0026,60,M,2391,F
2843-152918-0016_5789-57158-0034,2843,M,5789,F
3982-178459-0006_5652-39938-0032,3982,F,5652,F
3240-131232-0013_3807-4955-0034,3240,M,3807,M
625-132112-0052_5514-19192-0008,625,M,5514,F
2436-2477-0009_1963-147036-0032,2436,M,1963,F
4441-76263-0002_2843-152918-0034,4441,M,2843,M
332-128985-0005_1263-141777-0008,332,M,1263,F
2989-138028-0050_7078-271888-0041,2989,F,7078,F
3879-174923-0015_1963-142393-0033,3879,F,1963,F
89-219-0004_3607-135982-0010,89,F,3607,M
1088-134315-0013_909-131044-0006,1088,F,909,M
911-128684-0042_125-121342-0032,911,M,125,F
8465-246947-0000_8312-279790-0005,8465,F,8312,F
3436-172171-0036_8797-294123-0024,3436,M,8797,M
1743-142912-0017_8014-112602-0033,1743,M,8014,F
2002-139469-0103_7059-88364-0004,2002,M,7059,F
8580-287364-0007_211-122425-0026,8580,M,211,F
6081-41998-0014_307-127535-0004,6081,M,307,M
1624-142933-0031_7148-7763-0008,1624,M,7148,F
1098-133695-0087_3830-12530-0003,1098,F,3830,M
233-155990-0036_7148-82991-0019,233,M,7148,F
4214-7146-0059_6925-80680-0010,4214,F,6925,M
4160-11550-0008_7278-104730-0005,4160,F,7278,M
6563-63821-0037_5789-57158-0013,6563,M,5789,F
150-126107-0030_39-121915-0019,150,F,39,F
87-121553-0055_8014-112586-0003,87,F,8014,F
8747-293952-0007_8629-261140-0043,8747,M,8629,M
89-218-0056_8630-305212-0033,89,F,8630,M
5678-43302-0037_5808-48608-0060,5678,M,5808,M
8580-287364-0002_2289-152258-0012,8580,M,2289,M
6437-66172-0030_2911-7601-0043,6437,M,2911,M
5514-19193-0025_2391-145015-0097,5514,F,2391,F
4898-20016-0016_4018-103416-0035,4898,M,4018,M
481-123720-0056_8797-294123-0013,481,M,8797,M
7635-105661-0032_8063-274115-0029,7635,F,8063,M
229-130880-0058_2002-139469-0030,229,M,2002,M
1263-138246-0010_4898-20016-0011,1263,F,4898,M
6272-70171-0034_6081-41998-0020,6272,F,6081,M
8226-274369-0018_332-128985-0018,8226,M,332,M
3830-12530-0029_8098-278252-0008,3830,M,8098,M
311-124404-0028_7148-82991-0024,311,M,7148,F
7302-86814-0005_5867-48852-0106,7302,F,5867,F
201-127786-0003_6818-76332-0010,201,M,6818,F
1447-130552-0020_4214-7146-0079,1447,F,4214,F
211-122442-0052_6181-216552-0054,211,F,6181,M
6209-34600-0015_4297-13006-0014,6209,M,4297,F
6367-65536-0019_2691-156755-0009,6367,M,2691,F
6848-252323-0021_7113-86041-0082,6848,M,7113,F
2691-156750-0000_322-124147-0008,2691,F,322,F
5688-41232-0072_2391-145015-0080,5688,F,2391,F
39-121915-0015_118-47824-0056,39,F,118,M
5192-19396-0028_6272-70168-0023,5192,M,6272,F
6437-66173-0050_3982-178459-0034,6437,M,3982,F
6476-57446-0062_4340-15220-0053,6476,F,4340,F
7312-92432-0010_19-198-0003,7312,M,19,F
911-128684-0032_6818-68772-0037,911,M,6818,F
6081-41997-0022_481-123720-0046,6081,M,481,M
27-123349-0031_8770-295465-0037,27,M,8770,M
5678-43302-0030_229-130880-0016,5678,M,229,M
250-140277-0006_2289-152254-0014,250,F,2289,M
6563-285357-0003_405-130894-0040,6563,M,405,M
625-132118-0001_1743-142914-0006,625,M,1743,M
1355-39947-0009_3436-172171-0008,1355,M,3436,M
7190-90542-0025_6836-61803-0011,7190,M,6836,M
2196-174172-0023_1898-145715-0001,2196,F,1898,F
3723-171631-0009_27-124992-0028,3723,M,27,M
6415-100596-0028_4340-15220-0012,6415,F,4340,F
1723-141149-0037_6181-216552-0062,1723,M,6181,M
4214-7146-0010_7800-283493-0037,4214,F,7800,F
7059-77900-0038_4406-16883-0028,7059,F,4406,M
8425-292520-0021_1992-141719-0054,8425,M,1992,F
909-131045-0009_89-219-0048,909,M,89,F
441-128988-0001_446-123502-0029,441,F,446,M
1098-133695-0053_5456-62014-0006,1098,F,5456,M
1737-148989-0028_322-124147-0054,1737,F,322,F
426-122819-0000_302-123504-0003,426,F,302,F
1183-128659-0006_8838-298545-0046,1183,F,8838,M
8629-261139-0052_587-41611-0027,8629,M,587,F
4813-248641-0007_7780-274562-0093,4813,M,7780,F
6848-76049-0020_3235-28452-0008,6848,M,3235,F
1970-26100-0002_6209-34599-0031,1970,F,6209,M
118-124588-0009_40-222-0063,118,M,40,F
4397-15666-0023_7078-271888-0045,4397,M,7078,F
7447-91186-0029_3259-158083-0094,7447,M,3259,F
4088-158077-0026_8630-305213-0036,4088,F,8630,M
6181-216552-0045_1970-10594-0040,6181,M,1970,F
1992-141719-0053_5456-24741-0023,1992,F,5456,M
3242-67153-0007_3526-175658-0032,3242,M,3526,F
3168-173564-0013_289-121665-0042,3168,M,289,F
1088-129236-0011_211-122442-0071,1088,F,211,F
5867-48852-0001_5049-25947-0017,5867,F,5049,M
8465-246942-0009_1723-141149-0020,8465,F,1723,M
3526-176653-0024_3830-12535-0016,3526,F,3830,M
40-121026-0018_6209-34599-0001,40,F,6209,M
5867-48852-0025_403-128339-0011,5867,F,403,F
4397-15666-0011_7800-283493-0009,4397,M,7800,F
5808-54425-0018_3168-173565-0020,5808,M,3168,M
412-126975-0067_2092-145706-0048,412,M,2092,F
2952-410-0055_8312-279791-0037,2952,M,8312,F
1867-148436-0037_1737-142396-0021,1867,M,1737,F
445-123860-0008_3879-173592-0001,445,M,3879,F
2384-152900-0027_4195-186238-0023,2384,M,4195,F
4640-19187-0013_7635-105409-0040,4640,F,7635,F
3857-182315-0019_1081-125237-0047,3857,M,1081,M
4481-17499-0022_6454-120342-0030,4481,F,6454,M
2391-145015-0042_5652-39938-0041,2391,F,5652,F
118-124588-0018_669-129074-0021,118,M,669,F
7780-274562-0041_887-123291-0004,7780,F,887,F
332-128985-0042_289-121652-0018,332,M,289,F
481-123720-0055_3857-182315-0034,481,M,3857,M
7859-102519-0014_2836-5354-0021,7859,F,2836,F
5808-48608-0049_89-219-0055,5808,M,89,F
5192-19397-0050_6367-65536-0059,5192,M,6367,M
